                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1323,                 7.9694,                 1.5083,                0.33636,                0.02778,                0.00131,                0.00079,                 2.5214,                 18.121,                 2.1277,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.9202,                 3.1808,                 1.3761,                0.19858,                0.32643,                0.03847,                0.01677,                 2.7028,                 42.393,                 2.1887,             0.00016327,             0.00016327,             0.00016327
                      3,                 1.8375,                 2.3079,                 1.3142,                0.40765,                0.17374,                0.08231,                0.04012,                 2.6092,                 20.599,                  2.015,             0.00023941,             0.00023941,             0.00023941
                      4,                 1.7712,                 2.1173,                 1.3064,                0.10849,                0.25429,                0.07276,                0.03146,                 2.4635,                  10.48,                 1.9286,             0.00030842,             0.00030842,             0.00030842
                      5,                 1.7253,                 1.8108,                 1.2914,                0.08079,                  0.178,                0.07877,                0.04121,                 2.1643,                 7.6308,                 1.5979,              0.0003703,              0.0003703,              0.0003703
                      6,                 1.7383,                 1.7483,                 1.2852,                0.15245,                0.29174,                0.09383,                0.04189,                 2.6249,                  11.04,                 1.8696,             0.00042506,             0.00042506,             0.00042506
                      7,                 1.6488,                 1.5965,                 1.2564,                0.32288,                0.29328,                0.10449,                0.05223,                 2.2019,                 5.1628,                 1.8428,             0.00047269,             0.00047269,             0.00047269
                      8,                  1.698,                 1.5309,                  1.308,                0.30531,                0.36566,                0.10118,                0.04574,                 2.1389,                 6.0656,                 1.8003,             0.00051319,             0.00051319,             0.00051319
                      9,                 1.7029,                 1.5458,                 1.2818,                0.23238,                0.13475,                0.08504,                 0.0401,                 2.4747,                 5.0626,                 1.9625,             0.00054656,             0.00054656,             0.00054656
                     10,                 1.6772,                 1.4505,                 1.2753,                0.28176,                0.07591,                0.10689,                0.05404,                 2.6863,                 4.8567,                 2.3009,              0.0005728,              0.0005728,              0.0005728
                     11,                 1.6929,                 1.3523,                 1.3116,                0.27274,                 0.1558,                 0.0841,                0.04466,                  2.595,                 4.7337,                 2.0693,             0.00059192,             0.00059192,             0.00059192
                     12,                 1.6309,                  1.293,                 1.2317,                 0.2791,                0.17754,                0.09482,                 0.0395,                 2.4102,                 5.6106,                 1.7798,              0.0005644,              0.0005644,              0.0005644
                     13,                 1.6721,                 1.2663,                 1.2749,                0.25816,                0.16908,                0.09777,                 0.0416,                 2.2887,                  5.312,                 1.7035,              0.0005248,              0.0005248,              0.0005248
                     14,                 1.6356,                 1.1369,                 1.2538,                0.04943,                0.21325,                0.08293,                0.03603,                 2.3429,                 5.3273,                 1.6956,              0.0004852,              0.0004852,              0.0004852
                     15,                  1.536,                 1.1504,                 1.2083,                0.25915,                0.15442,                0.09097,                0.04837,                 2.3272,                 4.1329,                 1.6865,              0.0004456,              0.0004456,              0.0004456
                     16,                 1.5845,                 1.1526,                 1.2903,                 0.2601,                0.20135,                0.10917,                0.05864,                 2.1607,                 4.1232,                 1.8873,               0.000406,               0.000406,               0.000406
                     17,                 1.5435,                 1.0306,                 1.2591,                0.28238,                0.16425,                0.12314,                 0.0596,                 1.9969,                 4.3168,                 1.8184,              0.0003664,              0.0003664,              0.0003664
                     18,                 1.5688,                  1.001,                 1.2727,                0.13686,                0.22184,                0.10986,                0.04944,                 2.0593,                 4.5273,                 1.7727,              0.0003268,              0.0003268,              0.0003268
                     19,                 1.5096,                0.94791,                 1.2318,                0.19659,                0.20177,                0.11514,                 0.0527,                 2.1067,                 4.7026,                 1.8215,              0.0002872,              0.0002872,              0.0002872
                     20,                 1.5192,                0.95631,                 1.2371,                0.30346,                 0.1296,                0.11629,                0.05524,                 2.3147,                 4.2384,                 1.8067,              0.0002476,              0.0002476,              0.0002476
                     21,                 1.4874,                0.93365,                 1.2155,                0.30685,                0.11971,                0.13195,                0.06103,                 2.2738,                 4.3183,                 1.7497,               0.000208,               0.000208,               0.000208
                     22,                 1.5178,                0.87944,                 1.2491,                0.37887,                0.15903,                0.15178,                0.06988,                 2.1836,                 4.3446,                 1.7012,              0.0001684,              0.0001684,              0.0001684
                     23,                 1.4765,                0.86673,                 1.1829,                0.33446,                0.17491,                0.15868,                0.07081,                 2.1547,                 4.2184,                 1.6712,              0.0001288,              0.0001288,              0.0001288
                     24,                 1.4646,                0.84928,                 1.1789,                0.28843,                0.20565,                  0.157,                0.06598,                 2.1671,                 4.2028,                  1.671,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                 1.4403,                0.82172,                 1.1779,                0.33076,                 0.1558,                0.15824,                0.06662,                 2.1758,                  4.237,                 1.6891,               4.96e-05,               4.96e-05,               4.96e-05
